Estación,viento_promedio,ICAO,lat,lon,Altura_m,Provincia
LA QUIACA OBSERVATORIO,6.583333333333333,SASQ,-22.1,-65.6,3459.0,JUJUY
TARTAGAL AERO,8.133333333333333,SAST,-22.6,-63.783333,450.0,SALTA
JUJUY AERO,9.091666666666667,SASJ,-24.383333,-65.083333,909.0,JUJUY
JUJUY AERO,9.091666666666667,,-24.166667,-65.316667,1302.0,JUJUY
JUJUY U N,4.608333333333333,SASJ,-24.383333,-65.083333,909.0,JUJUY
JUJUY U N,4.608333333333333,,-24.166667,-65.316667,1302.0,JUJUY
SALTA AERO,6.974999999999999,SASA,-24.833333,-65.466667,1221.0,SALTA
LAS LOMITAS,5.375,SATK,-24.7,-60.583333,130.0,FORMOSA
IGUAZÚ AERO,9.691666666666666,SARI,-25.716667,-54.466667,270.0,MISIONES
TUCUMÁN AERO,8.716666666666667,SANT,-26.833333,-65.1,450.0,TUCUMAN
SANTIAGO DEL ESTERO AERO,8.716666666666667,SANE,-27.75,-64.283333,199.0,SANTIAGO DEL ESTERO
FORMOSA AERO,12.65,SARF,-26.2,-58.216667,60.0,FORMOSA
CORRIENTES AERO,12.025,SARC,-27.433333,-58.75,62.0,CORRIENTES
POSADAS AERO,10.283333333333335,SARP,-27.383333,-55.966667,125.0,MISIONES
CATAMARCA AERO,18.174999999999997,SANC,-28.583333,-65.75,464.0,CATAMARCA
VILLA DE MARÍA DEL RÍO SECO,5.600000000000001,SACV,-29.9,-63.716667,341.0,CORDOBA
RECONQUISTA AERO,12.700000000000001,SATR,-29.2,-59.683333,53.0,SANTA FE
PASO DE LOS LIBRES AERO,16.48333333333333,SARL,-29.683333,-57.133333,70.0,CORRIENTES
SAN JUAN AERO,13.324999999999998,SANU,-31.566667,-68.416667,598.0,SAN JUAN
CHAMICAL AERO,6.833333333333333,SACT,-30.333333,-66.283333,461.0,LA RIOJA
VILLA DOLORES AERO,10.733333333333334,SAOD,-31.95,-65.133333,569.0,CORDOBA
CÓRDOBA AERO,12.850000000000001,SACO,-31.283333,-64.2,495.0,CORDOBA
CÓRDOBA OBSERVATORIO,7.699999999999999,SACK,-31.416667,-64.183333,425.0,CORDOBA
SAUCE VIEJO AERO,12.625,SAAV,-31.7,-60.8,18.0,SANTA FE
PARANÁ AERO,11.941666666666668,SAAP,-31.783333,-60.483333,78.0,ENTRE RIOS
MONTE CASEROS AERO,11.866666666666667,SARM,-30.25,-57.633333,54.0,CORRIENTES
SAN LUIS AERO,15.608333333333334,SAOU,-33.266667,-66.35,713.0,SAN LUIS
VILLA REYNOLDS AERO,11.308333333333332,SAOR,-33.716667,-65.366667,486.0,SAN LUIS
RÍO CUARTO AERO,17.733333333333334,SAOC,-33.083333,-64.266667,421.0,CORDOBA
EL TRÉBOL,9.749999999999998,,,,,
ROSARIO AERO,12.308333333333332,SAAR,-32.9,-60.766667,25.0,SANTA FE
GUALEGUAYCHÚ AERO,11.458333333333334,SAAG,-33.0,-58.6,23.0,ENTRE RIOS
MALARGÜE AERO,10.833333333333334,SAMM,-35.466667,-69.583333,1425.0,MENDOZA
SAN RAFAEL AERO,10.174999999999999,SAMR,-34.583333,-68.4,748.0,MENDOZA
LABOULAYE AERO,9.975,SAOL,-34.116667,-63.366667,137.0,CORDOBA
JUNÍN AERO,14.675000000000002,SAAJ,-34.55,-60.916667,81.0,BUENOS AIRES
NUEVE DE JULIO,8.833333333333334,SAZX,-35.433333,-60.866667,76.0,BUENOS AIRES
SAN FERNANDO AERO*,11.341666666666667,SADF,-34.45,-58.583333,5.0,BUENOS AIRES
EL PALOMAR AERO,10.858333333333333,SADP,-34.6,-58.6,12.0,BUENOS AIRES
EZEIZA AERO,12.033333333333331,SAEZ,-34.816667,-58.533333,20.0,BUENOS AIRES
AEROPARQUE AERO,15.041666666666666,SABE,-34.55,-58.416667,6.0,CAPITAL FEDERAL
BUENOS AIRES OBSERVATORIO,8.316666666666666,SABA,-34.583333,-58.483333,25.0,CAPITAL FEDERAL
SANTA ROSA AERO,14.733333333333334,SAZR,-36.583333,-64.266667,191.0,LA PAMPA
TANDIL AERO,13.399999999999999,SAZT,-37.233333,-59.216667,175.0,BUENOS AIRES
CORONEL PRINGLES AERO*,9.799999999999999,,,,,
MAR DEL PLATA AERO,14.958333333333334,SAZM,-37.916667,-57.566667,21.0,BUENOS AIRES
NEUQUÉN AERO,9.750000000000002,SAZN,-38.95,-68.133333,271.0,NEUQUEN
BAHÍA BLANCA AERO,18.225,SAZB,-38.7,-62.15,83.0,BUENOS AIRES
BARILOCHE AERO,19.549999999999997,SAZS,-41.133333,-71.15,835.0,RIO NEGRO
MAQUINCHAO,13.583333333333334,SAVQ,-41.233333,-68.7,888.0,RIO NEGRO
EL BOLSÓN AERO*,5.825,SAVB,-41.95,-71.533333,326.0,RIO NEGRO
ESQUEL AERO,15.733333333333334,SAVE,-42.9,-71.133333,797.0,CHUBUT
TRELEW AERO,17.258333333333333,SAVT,-43.2,-65.266667,43.0,CHUBUT
PERITO MORENO AERO,26.916666666666668,SAWP,-46.533333,-70.983333,429.0,SANTA CRUZ
COMODORO RIVADAVIA AERO,20.266666666666666,SAVC,-45.783333,-67.45,46.0,CHUBUT
EL CALAFATE AERO*,17.558333333333334,SAWC,-50.283333,-72.05,204.0,SANTA CRUZ
SAN JULIÁN AERO,25.88333333333333,SAWJ,-49.3,-67.8,62.0,SANTA CRUZ
RÍO GALLEGOS AERO,22.375000000000004,SAWG,-51.6,-69.3,19.0,SANTA CRUZ
RÍO GRANDE B.A.,23.608333333333334,SAWE,-53.766667,-67.75,22.0,TIERRA DEL FUEGO
USHUAIA AERO*,22.666666666666668,SAWH,-54.833333,-68.3,57.0,TIERRA DEL FUEGO
BASE ORCADAS,21.65833333333333,SAYO,-60.733333,-44.733333,12.0,ANTARTIDA
